省份,区域,状态,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-26,2020-01-25,2020-01-24
广东,珠海,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,珠海,治愈,0,0,0,0,0,0,0,1,1,1,1,1,4,4,4,4,4,4,4,21,27,27,34,37,41,43,45
广东,珠海,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
广东,东莞,确诊,0,1,2,2,7,7,11,16,21,27,31,37,44,47,53,56,58,60,62,67,70,73,81,89,89,91,91
广东,东莞,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,东莞,治愈,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,7,7,7,7,7,12,19,24,24
广东,东莞,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
广东,佛山,确诊,7,9,10,14,18,21,25,33,39,43,45,49,50,57,59,64,67,70,70,78,81,82,84,84,84,84,84
广东,佛山,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,佛山,治愈,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4,4,4,4,15,17,17,22,23,23,23,27,27
广东,佛山,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,中山,确诊,2,2,2,5,6,13,18,18,18,21,25,31,36,44,46,46,51,56,58,62,64,64,65,65,66,66,66
广东,中山,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,中山,治愈,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,11,14,14,16,21,22,26,31,34,39,40,40
广东,中山,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,惠州,确诊,5,7,8,8,11,12,17,20,20,23,28,29,34,35,39,47,48,52,53,54,55,56,58,58,58,59,62
广东,惠州,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,惠州,治愈,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,14,18,26,26,34,36,38
广东,惠州,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,汕头,确诊,0,1,2,2,5,8,12,12,14,15,18,18,20,21,22,25,25,25,25,25,25,25,25,25,25,25,25
广东,汕头,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,汕头,治愈,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,5,6,6,8,8,9,11,13,14,15,18
广东,汕头,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,江门,确诊,0,0,0,0,0,1,1,2,3,3,4,6,7,9,14,15,19,20,20,21,22,22,22,23,23,23,23
